epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,4803.12,0.95134,0.66875,0.99089,0.86749,0.002575,0.002575,0.002575
77,4866.83,0.94453,0.66929,0.99089,0.86659,0.002476,0.002476,0.002476
78,4929.93,0.94224,0.67,0.99089,0.86577,0.002377,0.002377,0.002377
79,4993.52,0.94402,0.66982,0.99089,0.86478,0.002278,0.002278,0.002278
80,5056.6,0.93323,0.66982,0.99107,0.86391,0.002179,0.002179,0.002179
81,5119.65,0.92924,0.66982,0.99089,0.86311,0.00208,0.00208,0.00208
82,5182.46,0.92497,0.67107,0.99089,0.86222,0.001981,0.001981,0.001981
83,5245.64,0.92469,0.67089,0.99089,0.86124,0.001882,0.001882,0.001882
84,5308.64,0.9124,0.67089,0.99107,0.86033,0.001783,0.001783,0.001783
85,5372.07,0.91464,0.67161,0.99107,0.85941,0.001684,0.001684,0.001684
86,5434.89,0.90671,0.67179,0.99107,0.8585,0.001585,0.001585,0.001585
87,5498.41,0.89877,0.67286,0.99107,0.85754,0.001486,0.001486,0.001486
88,5562.1,0.89031,0.67286,0.99107,0.85665,0.001387,0.001387,0.001387
89,5626.66,0.88552,0.67179,0.99089,0.85585,0.001288,0.001288,0.001288
90,5690.33,0.88063,0.67196,0.99107,0.85516,0.001189,0.001189,0.001189
91,5755.37,0.88118,0.67179,0.99161,0.85448,0.00109,0.00109,0.00109
92,5820.01,0.8691,0.6725,0.99161,0.85369,0.000991,0.000991,0.000991
93,5884.5,0.87213,0.67321,0.99161,0.85294,0.000892,0.000892,0.000892
94,5948.84,0.85887,0.67357,0.99179,0.85218,0.000793,0.000793,0.000793
95,6013.28,0.85596,0.67357,0.99179,0.85147,0.000694,0.000694,0.000694
96,6077.34,0.84994,0.67411,0.99161,0.85073,0.000595,0.000595,0.000595
97,6141.55,0.84233,0.67518,0.99179,0.85006,0.000496,0.000496,0.000496
98,6205.92,0.84112,0.67571,0.99232,0.84934,0.000397,0.000397,0.000397
99,6270.12,0.83399,0.67536,0.99232,0.8486,0.000298,0.000298,0.000298
100,6334.25,0.83085,0.67518,0.99232,0.8478,0.000199,0.000199,0.000199
